id;conjugation_type;romanji_text;kanji_text;verb_id
5;te;shite;して;1
6;masu;shimasu;します;1
7;nai;shinai;しない;1
8;volitional;shiyou;しよう;1
9;ta;shita;した;1
10;provisional;sureba;すれば;1
11;negative_provisional;shinakereba;しなければ;1
12;potential;dekiru;できる;1
13;negative_potential;dekinai;できない;1
18;te;kite;来て;14
19;masu;kimasu;来ます;14
20;nai;konai;来ない;14
21;volitional;koyou;来よう;14
22;ta;kita;来た;14
23;provisional;kureba;来れば;14
24;negative_provisional;konakereba;来なければ;14
25;potential;korareru;来られる;14
26;negative_potential;korarenai;来られない;14
29;te;itte;行って;27
30;masu;ikimasu;行きます;27
31;nai;ikanai;行かない;27
32;volitional;ikou;行こう;27
33;ta;itta;行った;27
34;provisional;ikeba;行けば;27
35;negative_provisional;ikanakereba;行かなければ;27
36;potential;ikeru;行ける;27
37;negative_potential;ikenai;行けない;27
40;te;yonde;読んで;38
41;masu;yomimasu;読みます;38
42;nai;yomanai;読まない;38
43;volitional;yomou;読もう;38
44;ta;yonda;読んだ;38
45;provisional;yomeba;読めば;38
46;negative_provisional;yomanakereba;読まなければ;38
47;potential;yomeru;読める;38
48;negative_potential;yomenai;読めない;38
51;te;tabete;食べて;49
52;masu;tabemasu;食べます;49
53;nai;tabenai;食べない;49
54;volitional;tabeyou;食べよう;49
55;ta;tabeta;食べた;49
56;provisional;tabereba;食べれば;49
57;negative_provisional;tabenakereba;食べなければ;49
58;potential;taberareru;食べられる;49
59;negative_potential;taberarenai;食べられない;49
62;te;oyoide;泳いで;60
63;masu;oyogimasu;泳ぎます;60
64;nai;oyoganai;泳がない;60
65;volitional;oyogou;泳ご;60
66;ta;oyoida;泳いだ;60
67;provisional;oyogeba;泳げば;60
68;negative_provisional;oyoganakereba;泳がなければ;60
69;potential;oyogeru;泳げる;60
70;negative_potential;oyogenai;泳げない;60
73;te;kaite;書いて;71
74;masu;kakimasu;書きます;71
75;nai;kakanai;書かない;71
76;volitional;kakou;書こう;71
77;ta;kaita;書いた;71
78;provisional;kakeba;書けば;71
79;negative_provisional;kakanakereba;書かなければ;71
80;potential;kakeru;書ける;71
81;negative_potential;kakenai;書けない;71
84;te;nonde;飲んで;82
85;masu;nomimasu;飲みます;82
86;nai;nomanai;飲まない;82
87;volitional;nomou;飲もう;82
88;ta;nonda;飲んだ;82
89;provisional;nomeba;飲めば;82
90;negative_provisional;nomanakereba;飲まなければ;82
91;potential;nomeru;飲める;82
92;negative_potential;nomenai;飲めない;82
95;te;mite;見て;93
96;masu;mimasu;見ます;93
97;nai;minai;見ない;93
98;volitional;miyou;見よう;93
99;ta;mita;見た;93
100;provisional;mireba;見れば;93
101;negative_provisional;minakereba;見なければ;93
102;potential;mirareru;見られる;93
103;negative_potential;mirarenai;見られない;93
106;te;kiite;聞いて;104
107;masu;kikimasu;聞きます;104
108;nai;kikanai;聞かない;104
