id;type;definition;jlpt_level;grade_level;ending;verb_text;kanji_text;romanji_text
1;IRREGULAR;to do​;N5;1;suru;suru;する;suru
14;IRREGULAR;to come;N5;1;kuru;suru;来る;kuru
27;GODAN;"to go; to move";N5;1;kuru;iku;行く;iku
38;GODAN;to read;N5;1;kuru;yomu;読む;yomu
49;ICHIDAN;to eat​;N5;1;kuru;taberu;食べる;taberu
60;GODAN;to swim;N5;1;kuru;oyogu;泳ぐ;oyogu
71;GODAN;to write;N5;1;kuru;kaku;書く;kaku
82;GODAN;to drink;N5;1;kuru;nomu;飲む;nomu
93;ICHIDAN;"to see; to look; to watch";N5;1;kuru;miru;見る;miru
104;GODAN;to hand over;N5;1;kuru;watasu;渡す;watasu
115;ICHIDAN;can do;N5;1;kuru;dekiru;出来る;dekiru
126;GODAN;to turn;N5;1;kuru;magaru;曲がる;magaru
137;GODAN;to take;N5;1;kuru;toru;取る;toru
148;ICHIDAN;to forget;N5;1;kuru;wasureru;忘れる;wasureru
159;GODAN;to take, to ride;N5;1;kuru;noru;乗る;noru
171;GODAN;to call;N5;1;kuru;yobu;呼ぶ;yobu
182;ICHIDAN;to get tired;N5;1;kuru;tsukareru;疲れる;tsukareru
193;GODAN;to sing;N5;1;kuru;utau;歌う;utau
204;GODAN;to have, to own;N5;1;kuru;motsu;持つ;motsu
216;GODAN;to climb up;N5;1;kuru;noboru;登る;noboru
227;GODAN;to stop;N5;1;kuru;tomaru;止まる;tomaru
238;GODAN;to be in trouble;N5;1;kuru;komaru;困る;komaru
249;GODAN;to talk, to speak, to tell;N5;1;kuru;hanasu;話す;hanasu
262;ICHIDAN;to memorize, to remember;N5;1;kuru;oboeru;覚える;oboeru
274;GODAN;to breath, to smoke;N5;1;kuru;suu;吸う;suu
286;GODAN;to arrive;N5;1;kuru;tsuku;着く;tsuku
297;ICHIDAN;to show;N5;1;kuru;miseru;見せる;miseru
308;GODAN;to polish, to brush;N5;1;kuru;migaku;磨く;migaku
320;GODAN;to make, to produce;N5;1;kuru;tsukuru;作る;tsukuru
332;GODAN;to take off clothes;N5;1;kuru;nugu;脱ぐ;nugu
343;ICHIDAN;to go out;N5;1;kuru;dekakeru;出かける;dekakeru
354;GODAN;to cross;N5;1;kuru;wataru;渡る;wataru
365;ICHIDAN;to be born;N5;1;kuru;umareru;生まれる;umareru
376;GODAN;to know;N5;1;kuru;shiru;知る;shiru
387;ICHIDAN;to wear, to put on;N5;1;kuru;kiru;着る;kiru
399;GODAN;to lend;N5;1;kuru;kasu;貸す;kasu
410;GODAN;to die, to pass away;N5;1;kuru;shinu;死ぬ;shinu
422;GODAN;to pull;N5;1;kuru;hiku;引く;hiku
433;ICHIDAN;to insert, to put in;N5;1;kuru;ireru;入れる;ireru
445;GODAN;to return an object;N5;1;kuru;kaesu;返す;kaesu
456;GODAN;to fall (rain, snow);N5;1;kuru;furu;降る;furu
468;ICHIDAN;to work for someone;N5;1;kuru;tsutomeru;勤める;tsutomeru
479;GODAN;to close;N5;1;kuru;shimaru;閉まる;shimaru
490;GODAN;to cut;N5;1;kuru;kiru;切る;kiru
501;ICHIDAN;to open;N5;1;kuru;akeru;開ける;akeru
512;GODAN;to buy;N5;1;kuru;kau;買う;kau
523;GODAN;to live, to reside somewhere;N5;1;kuru;sumu;住む;sumu
535;GODAN;to take out, hand in;N5;1;kuru;dasu;出す;dasu
547;GODAN;to put something on, to stick;N5;1;kuru;haru;張る;haru
559;GODAN;to wash;N5;1;kuru;arau;洗う;arau
570;GODAN;to work;N5;1;kuru;hataraku;働く;hataraku
581;GODAN;to use;N5;1;kuru;tsukau;使う;tsukau
592;GODAN;to blossom;N5;1;kuru;saku;咲く;saku
603;ICHIDAN;to turn on;N5;1;kuru;tsukeru;点ける;tsukeru
614;GODAN;to end;N5;1;kuru;owaru;終わる;owaru
625;GODAN;to stand;N5;1;kuru;tatsu;立つ;tatsu
636;GODAN;to say, to tell;N5;1;kuru;iu;言う;iu
